filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spec_contrast_1,spec_contrast_2,spec_contrast_3,spec_contrast_4,spec_contrast_5,spec_contrast_6,spec_contrast_7,zcr,rms
00002_part1.wav,-258.75162,144.212,-13.984239,39.982727,8.045334,-1.8431164,-10.564839,17.903805,-5.3478785,-18.274548,2.6330297,-10.2253895,-4.8460655,0.44574013,0.47555652,0.47668946,0.47639522,0.46838227,0.40590137,0.3754091,0.3798027,0.40442127,0.412804,0.45662308,0.44162107,19.358845846417765,12.202353905667175,15.315280453361874,16.126272530685654,16.757012999501466,20.524553999585386,33.87585625363137,[0.0594287],[0.08558396]
00002_part10.wav,-282.1071,148.52856,-13.69527,36.200203,4.250878,0.9520754,-6.726327,13.427374,-8.923862,-13.474707,2.0172641,-9.252435,-1.6175393,0.44167677,0.445044,0.4379853,0.500711,0.5094531,0.4213211,0.39093325,0.40818492,0.46236673,0.42514488,0.4342799,0.4431164,17.611089798533484,11.698705440498617,14.718143500373703,15.113219981417242,16.705195074461756,19.22439136198065,32.212538749971614,[0.05631831],[0.07297589]
00002_part11.wav,-260.19104,136.26349,-6.228304,43.153877,11.308262,0.30431774,-11.266714,16.03412,-2.439583,-17.539972,-0.059570808,-13.568081,-5.9223485,0.40424636,0.4296684,0.4414034,0.4554846,0.4239967,0.39325956,0.4055408,0.4180865,0.4390365,0.43123838,0.43359727,0.42150527,19.52950738241765,12.745763354258177,15.708276736563842,15.560513473717457,16.69341177759168,20.121594000267834,34.171387544760876,[0.05539726],[0.09469125]
00002_part12.wav,-275.43054,146.80792,-5.177029,41.44153,8.464719,-2.985481,-11.026252,12.560508,-2.9297686,-15.619454,-1.3465611,-13.750634,-5.8214507,0.46566337,0.46402553,0.4583168,0.44817314,0.45006177,0.36267886,0.3230397,0.32969847,0.36616805,0.37378106,0.44798112,0.45626563,18.945544019887294,13.15153573526943,16.322102010443242,16.39391314945315,16.355773179317442,19.586332335029514,32.95166095881746,[0.04564864],[0.09776726]
00002_part2.wav,-258.0771,137.81183,-12.179373,40.088913,14.815262,-0.4418461,-8.680795,14.619387,-8.065302,-15.593945,3.1531475,-9.937343,-5.603366,0.44633254,0.4373415,0.43233728,0.4424681,0.45274425,0.41503796,0.42353034,0.45884407,0.45093307,0.4153544,0.4358524,0.45155203,19.892433293996096,12.551278445580191,15.88782640624464,15.892137672446161,16.71783491077624,20.135532628116188,33.51571203857583,[0.05921855],[0.09054362]
00002_part3.wav,-269.38522,144.6783,-17.31523,48.442867,8.173724,6.7634635,-9.968254,16.099134,-6.6642303,-13.4814,2.2500412,-11.996113,-3.5746357,0.45046955,0.41481218,0.4129581,0.43778422,0.42307612,0.40236932,0.43341878,0.4663406,0.49458253,0.49201384,0.50661165,0.47698432,18.798879045273985,11.98589377986478,15.315953993137494,14.948270539082227,16.07735214193066,19.34998404463545,33.65898594384344,[0.0602104],[0.07923191]
00002_part4.wav,-254.71175,138.75401,-16.613707,47.669445,11.90939,1.2678382,-15.161194,14.132584,-2.3068602,-18.013056,0.23128118,-11.590451,-8.462356,0.4125986,0.41242772,0.41377378,0.40533718,0.40466663,0.37665337,0.4099159,0.4388901,0.39750427,0.3940193,0.42877012,0.448641,19.944754496059698,13.402390828192159,16.539285267964697,15.864099172634239,16.666655154706593,20.90812565821783,34.42665611071571,[0.05938225],[0.10739357]
00002_part5.wav,-266.44006,144.22415,-12.9086895,46.11484,5.98451,0.7524202,-12.051458,14.833144,-4.7349105,-13.755005,1.531904,-11.362845,-5.4875073,0.49355114,0.48873335,0.46909985,0.49812642,0.46198472,0.38878074,0.38302073,0.43176776,0.46247008,0.458346,0.48539644,0.4886133,18.048672319014493,12.021285872553559,15.541055159269971,15.999305054603736,15.640568840693591,19.24286539921056,33.57892831222668,[0.06133368],[0.08966316]
00002_part6.wav,-268.16443,151.1166,-17.10502,43.087727,6.7297883,-1.046062,-12.220925,15.064818,-6.527748,-16.909966,1.5045054,-11.95395,-3.1948655,0.46480545,0.46843404,0.4591144,0.49189192,0.4550003,0.35336554,0.35133493,0.38424897,0.4343307,0.4213458,0.47607848,0.4752841,18.614444915430262,11.982986064110092,15.71881327399021,15.591089213535492,15.719787781046842,19.889513557023506,33.176169827634844,[0.05316375],[0.08674973]
00002_part7.wav,-259.7178,138.85785,-11.125383,36.12604,9.462658,-3.2389836,-7.5335135,14.698756,-5.8652096,-17.76275,1.5446568,-9.297098,-3.456938,0.41827035,0.45114443,0.47589505,0.5087645,0.49241066,0.44807196,0.40620467,0.4033103,0.43236852,0.3991048,0.40254927,0.3946271,18.093430736066477,12.22724975580366,15.207544805002234,15.655125512573477,16.86093670205521,20.60267921213699,33.58354752774739,[0.05597504],[0.09711392]
00002_part8.wav,-272.48636,133.48978,-6.6690154,47.91621,11.326992,1.3322556,-8.995474,16.374142,-5.1510725,-15.053627,1.9724627,-11.696311,-4.376047,0.4547181,0.4790665,0.47953758,0.48417878,0.46737745,0.40763348,0.42183664,0.441617,0.44460982,0.4272205,0.45136943,0.45506626,18.059130872148554,12.198446420364972,15.310231845280581,14.974899302127293,16.642568313981418,19.75430425116185,33.69716996527811,[0.05849405],[0.08198961]
00002_part9.wav,-274.8088,142.95349,-9.594855,45.091812,3.9164524,-2.2097788,-13.1520405,16.753685,-2.8743026,-14.069425,1.5996355,-10.456754,-2.989532,0.44723964,0.48889273,0.4733496,0.47802642,0.4781316,0.45172033,0.44635764,0.45344067,0.4525337,0.4186004,0.4302698,0.41685316,17.58024687821429,11.892377565561032,14.988980026459691,16.28209261891211,16.81872131538905,19.89878142273723,33.44330456989903,[0.06011411],[0.07844016]
00003_part1.wav,-344.07095,160.34787,-11.916835,15.700133,17.415508,-2.841789,12.409874,1.4151943,4.7838387,3.8922892,-21.128235,-2.649455,13.517516,0.4357737,0.4380892,0.43633857,0.41114932,0.40694487,0.4443086,0.45587587,0.4697797,0.55055827,0.5039081,0.4720159,0.48066127,16.42049793052366,11.2583027882304,16.343303813217585,16.434204900457715,17.72816130111769,21.16636696156045,30.40281242906777,[0.04339246],[0.07496046]
00003_part10.wav,-296.84372,170.87,-33.64376,18.178146,19.251532,-11.132185,13.812446,-1.6147131,-0.09666524,9.486208,-20.722221,-8.359822,12.913247,0.42422605,0.46849138,0.42839214,0.41527268,0.41812232,0.41219133,0.4099025,0.4269238,0.53580844,0.4654423,0.44301045,0.4490496,16.83168817035592,10.9526236126653,16.264464278411804,16.37236620595075,17.53092155825399,21.293842335149694,32.92031412985638,[0.05727278],[0.09744573]
00003_part11.wav,-294.27237,169.50636,-33.924004,22.231434,22.361006,-9.021829,15.553219,-2.049389,-0.37832585,10.090032,-20.074036,-8.3000345,11.369738,0.41678554,0.43258065,0.42787132,0.4543483,0.4473878,0.46094704,0.43308514,0.4901861,0.49884716,0.44311842,0.46469188,0.4345604,17.028847295008237,10.963967867032725,16.179446799096105,15.521289011396497,17.573328449772685,21.07049359090623,33.649199638357445,[0.05832015],[0.09484059]
00003_part12.wav,-285.46716,170.3147,-45.909664,24.791973,23.22485,-10.506291,18.544758,-3.2177775,-0.59576255,10.285767,-23.701048,-7.909457,11.206111,0.4408174,0.44938427,0.43042362,0.44451004,0.44707286,0.43328816,0.44462827,0.42116222,0.47865596,0.44274315,0.44831672,0.45651647,17.674487815284646,11.789781199090568,16.674790391085555,15.76033763265272,17.489814757319376,20.389272545427637,35.28521305561801,[0.06290445],[0.10352479]
00003_part13.wav,-365.61804,142.19627,-16.877703,22.18232,19.754553,-3.8589082,16.292511,2.1753082,3.009653,10.631808,-14.811431,-5.0645156,11.900276,0.5135311,0.52252054,0.53457445,0.5433225,0.5751193,0.5660583,0.5651864,0.53446674,0.53315204,0.52742815,0.49876177,0.5261427,16.35899584480415,11.022346133005039,15.146780044507741,15.178236676080195,16.42228292490382,19.57233874777845,28.979642215228818,[0.04104508],[0.06705439]
00003_part2.wav,-315.21414,176.91176,-23.652071,18.169004,18.031704,-10.094923,11.483657,-0.55315036,4.166603,9.012735,-19.162352,-2.2510989,13.496658,0.45315236,0.42917287,0.4538175,0.44659618,0.427703,0.42036605,0.4434454,0.5120105,0.5144992,0.4704149,0.4873586,0.46263823,17.679331816939772,11.24601627848619,15.166389097049636,16.31275094434762,17.727975915321,21.16780483859435,32.090197459821724,[0.0498517],[0.08940952]
