filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms
normalized_00002.wav,-262.55286,136.82098,-7.2964735,39.13456,11.583755,-1.9658732,-9.381201,14.614886,-4.955146,-15.801055,1.327394,-11.0333805,-4.752487,[0.08839163]
normalized_00003.wav,-317.9847,159.8314,-26.623785,19.215857,21.553862,-6.198369,13.534012,-0.23813632,2.2644796,8.94555,-17.445744,-3.32191,12.964987,[0.08233718]
normalized_00004.wav,-387.2218,135.07002,7.857849,33.19155,20.214378,-1.416453,4.876089,-3.513775,0.9142751,-0.70885783,-5.4293475,-1.6141753,-7.761844,[0.04634129]
normalized_00005.wav,-299.7599,114.861275,20.702188,28.96145,14.180071,12.743476,9.839761,3.6693342,5.8772025,3.7430482,-0.060292736,2.1188252,1.8990211,[0.05934572]
normalized_00006.wav,-314.36926,133.26341,2.4807673,36.376617,13.082589,26.907814,14.908328,-10.872147,1.3363101,1.5836303,-8.438725,-2.2209868,-5.153303,[0.06950139]
normalized_00007.wav,-254.6869,110.45226,32.625603,3.3558424,31.311426,8.572396,3.6937764,2.8909812,-0.1455665,-4.1279554,-0.53920144,2.3422391,2.5103378,[0.07658876]
normalized_00008.wav,-316.55237,137.38287,-27.932215,17.985733,14.687266,-7.1057625,-2.674959,-6.0592995,-4.837605,-2.9596627,4.8366866,3.9720533,-11.93283,[0.06470102]
normalized_00009.wav,-367.72595,74.64132,16.61769,27.581316,18.39379,4.3380055,-0.71050096,-0.7647648,-10.903774,-8.238956,-4.4944234,-11.65719,-11.8229885,[0.0323845]
normalized_00010.wav,-383.70905,90.0689,22.257591,9.820992,5.4230022,-7.2793684,-13.150731,-11.945563,-0.97098255,4.966645,-1.7414979,-7.1310472,-9.93006,[0.09082749]
normalized_00011.wav,-331.5638,126.46421,19.471052,8.226937,14.566188,-19.256832,5.8299217,-19.436403,-11.86431,-11.276166,-5.498813,-10.605293,-2.1126163,[0.09142595]
normalized_00012.wav,-336.27927,104.64994,30.883808,36.316578,11.767051,4.179559,-3.3397262,15.082428,5.465192,-1.5767308,-0.77902406,4.1038647,14.082251,[0.08707108]
normalized_00013.wav,-316.35498,154.8298,-20.891264,16.298918,18.992159,-9.521565,1.119982,-2.2724462,-2.074709,-8.38407,-20.626095,-11.165067,-7.0385246,[0.1114615]
normalized_00014.wav,-439.25583,110.65188,57.119972,24.129025,11.459812,9.830803,-6.246764,3.5734437,-1.9078383,-8.25771,-4.7966633,-4.3094273,3.1472807,[0.0178568]
normalized_00015.wav,-310.61115,147.24815,-28.736439,18.681559,20.499327,-6.293358,5.333091,-4.758619,-3.1264791,-6.5474133,-12.485377,1.8892115,-7.185821,[0.05629768]
normalized_00016.wav,-373.04413,80.769005,-7.0581436,13.393813,11.014334,-1.7856843,2.1564715,-10.973396,-12.213871,-2.14236,-0.44906786,-3.3927693,-11.580341,[0.04024742]
normalized_00017.wav,-336.49026,122.445175,32.8302,42.966652,6.8631616,9.829615,11.400396,-0.7660729,-5.5176287,-5.7444224,-2.261209,3.5793226,-7.691458,[0.05809988]
normalized_00018.wav,-432.15045,105.13912,-6.123229,29.001566,1.9274179,-0.75554186,15.796871,-11.87745,-2.6589825,3.1943555,-7.861432,-1.6873441,-1.4402324,[0.03409673]
normalized_00019.wav,-374.71484,90.90125,20.061796,33.370686,12.526447,20.89199,5.2228866,10.622494,-8.8438,0.0008921546,0.8963408,-3.0168815,-9.442544,[0.05309063]
normalized_00020.wav,-313.11438,109.92598,-4.6934047,11.237589,-2.7770488,16.29516,-16.775185,-3.5049238,-6.0816145,-0.75242937,-7.7708573,-1.0469878,-2.7790706,[0.06189006]
normalized_00021.wav,-300.1793,179.76917,-14.580635,1.0422333,3.8249187,3.245563,12.540287,1.4079028,1.7285086,-18.061409,-15.185909,10.40625,3.5402274,[0.05702105]
normalized_00022.wav,-364.29538,163.21706,14.663014,3.9879558,17.867304,11.891426,6.358854,-3.809188,-8.501155,-1.5817219,0.3002728,-2.683793,-6.7901926,[0.04958044]
normalized_00023.wav,-443.8957,88.69472,13.835453,16.481417,9.646,-6.2651796,-0.7536001,0.09343627,-0.8997357,-1.0966495,-4.6440787,-1.5954473,2.0949318,[0.02697226]
normalized_00024.wav,-267.88983,131.89337,23.831755,8.153021,18.975494,11.889382,-2.3939462,24.431108,-4.5650644,8.214445,1.3793724,6.013131,3.0489962,[0.07192519]
normalized_00025.wav,-361.01065,119.84516,27.556717,21.089241,15.211164,1.6657039,-4.0146656,-2.0987911,-2.3910956,2.8549743,0.38950133,4.2410274,0.39755875,[0.05350722]
normalized_00026.wav,-384.0011,157.47969,13.562761,19.465153,14.838908,-18.550879,-10.560264,-1.362528,-3.614892,-1.4410706,1.3644323,2.6039107,-1.340849,[0.04512805]
